hu_text,en_text_morph,morph_cost,time,hu_hyp_morph,morph_wer,morph_cer,morph_per
Mit sütsz kis szűcs,meet shit speaking,3.9116666666666666,8.565832494000006,Meet shit speaking.,1.0,0.7894736842105263,1.3333333333333333
Sárga bögre görbe bögre,transformed contexts,8.393888888888888,9.192666164000002,Transformed Contexts,1.0,0.8260869565217391,1.45
Fekete bikapata kopog a patika pepita kövezetén,texts requests support transcripts contracts,16.50457070707071,22.115651471000092,"text-requests, support transcripts, contracts.",1.0,0.8297872340425532,1.3170731707317074
Két pék két szép kék képet kér,act problems kick keep et co,7.015,20.34014209199995,aware-t problems kick keep it coal értékelt,1.0,1.0666666666666667,1.6521739130434783
Jamaika a jamaikaiaké,districts district e act,9.408333333333333,6.8504909019998195,Districts District Act.,1.0,0.9523809523809523,1.4782608695652173
A szecsuáni síncsiszoló sínt csiszol Szecsuánban,transcripts myself consists strongest,13.14382575757576,18.626282287000322,A másik da safer is Grabunter.,0.8333333333333334,0.7708333333333334,1.2352941176470589
Jobb egy lúdnyak két tyúknyaknál,your edge district backgrounds,8.820833333333333,19.670553755999663,"titeket trigger születőzni, és egy csúszott, mikor be kezelkezve meghalunk be, meg pár eset után, utána felhangzhatjuk. Oké. Solidarity, K ärényelői. Ön is klasszagilag vette ránk köszönöket. Remélem a lapiglanする ide Portar. Tenyérrel. Addig, fest, megengedi a células-től.",7.4,7.78125,4.136363636363637
Lali a lila ló elalél,strictly spectral,7.083749999999999,14.792096911000044,Strictly Spectral,1.0,0.7619047619047619,1.3529411764705883
Nem lehet a Márta másé mert a Márta már Tamásé,m let help statements met smartphones texts,13.850833333333334,26.035819822999656,A Let Help statements met smartphones texts.,0.9,0.6739130434782609,1.162162162162162
Gyűrűt újra fűz,jumped humans,5.877142857142857,5.479546389000461,Jumped humans!,1.0,0.8666666666666667,1.6666666666666667
Hány nyár,hands,3.21,2.4534415660018567,Hands.,1.0,0.7777777777777778,1.3333333333333333
Tyúk és csibe,prescribed,3.859166666666667,3.8646825980003996,következő,1.0,0.9230769230769231,1.5555555555555556
Dzsinn ül a dzsámi előtt,result complaints,6.666666666666667,6.588746962999721,Result complaints.,1.0,0.8333333333333334,1.6428571428571428
Sárban szárad,sh been stand,4.043333333333333,10.730423596999572,Sibin Stand,1.0,0.5384615384615384,1.0
Zsákban a zsemle,husband next,6.477142857142858,5.6578120949998265,Husband next!,1.0,0.6875,1.1666666666666667
Egy nagy kertben,edge project ben,3.2699999999999996,12.64908099799959,egy projektben.,0.6666666666666666,0.5,0.8333333333333334
Őr űzi az ürgét,years e project,6.815714285714285,14.983604216999993,érzi projektet.,1.0,0.8,1.25
Két bögre teát kér,act construct co,5.430555555555555,6.511634114000117,Act Construct Coal,1.0,0.8333333333333334,1.6666666666666667
A kórus a kocsma előtt áll,scheduled constraints,7.569999999999999,8.92674936900039,a kigenedkező letvenlyel.,0.8333333333333334,0.7692307692307693,1.5555555555555556
Szép zöld fű,subjects,3.415,11.838759429003403,Subjects,1.0,0.9166666666666666,1.7777777777777777
Sütőtökből sütit süt,shit oak bill split shit,4.933333333333334,11.668492849001268,"Sitt ok, ből, split, sitt!",1.6666666666666667,0.65,1.0
Hidd el itt írok,he well instead,4.37,10.99683854199975,He well instead.,1.0,0.75,1.5454545454545454
Vár a víz,victims,3.2671428571428573,2.088846395001383,virtuális,1.0,0.7777777777777778,1.7142857142857142
Füstöl a fűrész,household france,5.648571428571429,10.93434702400009,household friends.,1.0,0.9333333333333333,1.6666666666666667
Gyúl a Gyertya,girlfriends,3.383333333333333,3.0901301379999495,Göröfréns.,1.0,0.9285714285714286,1.7777777777777777
Ég a lámpa,contempt,3.455,2.6841632279993064,KONTEMPT!,1.0,0.9,1.5
Csőből csöpög,transformed,4.05,3.1989816509994853,TRANSFORMED,1.0,1.0,2.1
Kő őrzi őzt,co is e east,4.04,3.439422335999552,KÖSZI IST!,1.0,0.6363636363636364,1.1111111111111112
