class,morph_wer,morph_cer,morph_per,morph_cost
affricate_cs,1.0,0.9134404520917678,1.5972222222222223,7.130003968253969
affricate_cs_onset,1.0,1.0,2.1,3.7849999999999993
affricate_dzs,1.0,0.7916666666666666,1.5,6.241388888888889
affricates,1.0,0.8541666666666666,1.5,13.218055555555557
clusters,1.0,0.8596348826611985,1.611111111111111,3.8800833333333333
final_long_e,1.0,0.9047619047619048,1.5217391304347827,9.022777777777778
front_rounded,1.0,0.838306595582388,1.4573170731707317,7.737046296296296
front_rounded_long,1.0476190476190477,0.9501998001998002,1.7642857142857142,5.132850340136054
front_rounded_short,1.111111111111111,0.9388888888888888,1.712962962962963,4.984904761904763
geminate,1.0,0.875,1.5454545454545454,8.437916666666668
geminate_dd,1.0,0.6875,1.0909090909090908,4.235833333333333
hiatus,1.0,0.9047619047619048,1.5217391304347827,9.022777777777778
i_vs_long_i,1.0,0.6875,1.0909090909090908,4.235833333333333
i_vs_long_i_rhyme,1.0,0.8888888888888888,1.4285714285714286,3.01
laterals,1.0,0.8571428571428571,1.6470588235294117,7.18625
long_a,1.0,0.8888888888888888,1.4285714285714286,3.01
long_i,1.0,0.8541666666666666,1.5,13.218055555555557
long_o,1.0,1.1923076923076923,1.8888888888888888,8.018571428571429
long_u,1.0,0.9285714285714286,1.7777777777777777,3.783333333333333
long_vs_short_vowels,1.0,1.0,1.25,3.355
palatal_gy,1.0,0.9642857142857143,1.8888888888888888,4.701666666666666
palatal_gy_clusters,1.0,0.9285714285714286,1.7777777777777777,3.783333333333333
palatal_ny,1.0,0.8263888888888888,1.4393939393939394,5.823958333333334
palatal_ty,1.0,0.8990384615384617,1.606060606060606,6.059652777777778
plosives,0.9166666666666666,0.6916155951279679,1.0495625662778365,8.985347222222222
rhythm,1.0,0.8179874601706238,1.316083421703782,11.170462962962963
s_vs_sh,1.0,0.7692307692307693,1.3636363636363635,3.63125
sibilant_clusters,1.0,0.8541666666666666,1.5,13.218055555555557
sibilants,1.0416666666666665,0.7838581922463501,1.4411369126043039,4.856010416666667
voiced_coda_g,1.0,1.0,2.1,3.7849999999999993
voicing_assimilation_target,0.6666666666666666,0.3125,0.25,2.43
vowel_harmony,1.0,0.7391304347826086,1.162162162162162,14.725416666666671
vowel_length,1.0123456790123457,0.860919228115781,1.5099589970711202,6.442726631393298
word_initial,1.0,0.7916666666666666,1.5,6.241388888888889
z_vs_zh,1.0,0.625,1.0833333333333333,4.976666666666666
