hu_text,en_text_dp,dp_cost,dp_time,en_text_gemini,gm_time
Mit sütsz kis szűcs,meet shoe key so a a,6.146000000000001,455.09837562800385,Mitts its kiss soon,0.6419559569985722
Sárga bögre görbe bögre,shopping bow a eh oh bed bow a eh,12.68,1092.9588115540028,Sorry bore gray gore bay bore gray,0.45458328800305026
Fekete bikapata kopog a patika pepita kövezetén,effect eh be ca pot ah cope aw ah pa to cop eh p ta co as et in,6.037000000000001,2887.819008270002,Fuck ate her beak up her toe core pogo up her to call pay peep it her cove is ate him,0.6398129799999879
Két pék két szép kék képet kér,act pick act speak kick pet co a a,13.123,1049.8325995999985,Kate peak Kate say pay cake ape at care,0.5568006550020073
Jamaika a jamaikaiaké,ya ma ye ca ah ya ma ye ca ye ya co a,3.0210000000000004,1270.3067154809978,Jamaica a Jamaican key,0.6224689500013483
A szecsuáni síncsiszoló sínt csiszol Szecsuánban,os eh to knee she nice all she nice all said to mm been,12.676,1983.0198453289995,Uh say chew on a sheen cheese oh low sheen cheese oh low say chew on ban,0.7974912489953567
Jobb egy lúdnyak két tyúknyaknál,yo edge old knock correct knock nail,10.681,1108.8454420720009,Jobb age loot knee act Kate took knee at now,0.5816627269960009
Lali a lila ló elalél,law lee ah lee law let law lol,3.2910000000000004,777.3881183709964,Lolly uh Lila low a lolly,0.5473846999957459
Nem lehet a Márta másé mert a Márta már Tamásé,m let eh tom tom she mm eh tom tom tom she a,15.187999999999997,2170.590989625998,Name lay hat up Marta my say mart up Marta mar tommy say,0.5991440930083627
Gyűrűt újra fűz,budget you ah phase,9.011,332.6944743589993,G Yuri ooh trough fuse,1.2798994000040693
Hány nyár,he known a a,6.92,43.013020867991145,Honey are,0.57769160400494
Tyúk és csibe,check she ebay eh,4.970000000000001,156.31363926299673,Took age chew bay,0.6804464040033054
Dzsinn ül a dzsámi előtt,e law me l a a,7.800000000000001,552.5737930199975,Gin ooh love jammy a lot,1.0443625839980086
Sárban szárad,she ba nice odd,5.665,272.98471688899735,Shar bond sad odd,0.5495855799963465
Zsákban a zsemle,is been oz m let,4.929,385.263284339002,Shock bon a zoom lay,0.5933281379984692
Egy nagy kertben,edge na jack said ben,2.653,371.50236656500783,Age nod cart ban,0.4561331060103839
Őr űzi az ürgét,a z oz tonight,8.642,431.61836983601097,Or oohzy us ooh gay,0.8648252849961864
Két bögre teát kér,act bow et eh take a a,8.418,584.1836556540075,Kate bore gray tay odd care,2.3190102869994007
A kórus a kocsma előtt áll,ah school shock aw ma l a a a a,10.735,828.4241160160018,Uh chorus uh coach ma a lot all,0.5766026919882279
Szép zöld fű,spurs old for a,4.220000000000001,174.10601619500085,Sayp sold foo,0.5657995450019371
Sütőtökből sütit süt,shoot toe black shoot it shoot,5.343999999999999,871.0873434489913,Shoot oh took boar shoo tit shoot,0.591713058995083
Hidd el itt írok,he l e a oak,4.691999999999999,282.91388837799605,Head ill eat he rogue,0.5197348720103037
Vár a víz,of of is,4.609999999999999,69.51357542499318,Var a vise,0.48781932299607433
Füstöl a fűrész,fish toe law officer,6.503,372.59456756399595,Foost all up foo rayce,0.598384487995645
Gyúl a Gyertya,age lodge eh each ah,3.6430000000000002,182.54845954199845,Jew love deer tea raw,0.6987790819985094
Ég a lámpa,fall mm pa,3.5290000000000004,107.82251701300265,Age uh lumper,1.0593299530009972
Csőből csöpög,believe oh po a,7.423,229.87149383799988,Chubble chew pawg,0.7722826060053194
Kő őrzi őzt,because east,5.72,159.64255204598885,Koh orzy oost,0.7630976430082228
